CUPS;Fecha;Hora;2.0TD;3.0TD;P3.0TDVE
REE;01/01/2022;1;0.000136361;8.57117E-05;8.40686E-05
REE;01/01/2022;2;0.000116229;8.06614E-05;6.62665E-05
REE;01/01/2022;3;0.000100472;7.83003E-05;5.01277E-05
REE;01/01/2022;4;9.05031E-05;7.71508E-05;4.67461E-05
REE;01/01/2022;5;8.54566E-05;7.65452E-05;5.77213E-05
REE;01/01/2022;6;8.45008E-05;7.7345E-05;4.3272E-05
REE;01/01/2022;7;8.64985E-05;8.00475E-05;3.30779E-05
REE;01/01/2022;8;9.16206E-05;8.30308E-05;3.52048E-05
REE;01/01/2022;9;0.000100601;7.86592E-05;4.80114E-05
REE;01/01/2022;10;0.000124576;7.88608E-05;7.01071E-05
REE;01/01/2022;11;0.000148896;8.44144E-05;9.57395E-05
REE;01/01/2022;12;0.000159178;8.85648E-05;0.000132002
REE;01/01/2022;13;0.000159358;9.20588E-05;0.000152118
REE;01/01/2022;14;0.000165226;9.22653E-05;0.000176041
REE;01/01/2022;15;0.000164584;8.88674E-05;0.000179879
REE;01/01/2022;16;0.00014843;8.50513E-05;0.000162166
REE;01/01/2022;17;0.00013951;8.20843E-05;0.000162059
REE;01/01/2022;18;0.000140384;8.20618E-05;0.000149797
REE;01/01/2022;19;0.000160605;9.54886E-05;0.000152054
REE;01/01/2022;20;0.00017843;0.000101692;0.000178435
REE;01/01/2022;21;0.000191401;0.000100795;0.000163877
REE;01/01/2022;22;0.000194372;9.70069E-05;0.000141264
REE;01/01/2022;23;0.000179243;9.08317E-05;0.000117359
REE;01/01/2022;24;0.000151411;8.43619E-05;8.74977E-05
REE;02/01/2022;1;0.000123253;7.91824E-05;7.30483E-05
REE;02/01/2022;2;0.000101314;7.64452E-05;5.6171E-05
REE;02/01/2022;3;8.93332E-05;7.51151E-05;5.44339E-05
REE;02/01/2022;4;8.33197E-05;7.5005E-05;4.1287E-05
REE;02/01/2022;5;8.13791E-05;7.54956E-05;4.41458E-05
